Name,Link,Price,Reviews,Number of Reviews,Images
"OnePlus 10R 5G (Forest Green, 8GB RAM, 128GB Storage, 80W SuperVOOC)",https://www.amazon.in/OnePlus-Forest-Green-Storage-SuperVOOC/dp/B09WRMNJ9G/ref=sr_1_1?keywords=oneplus+10&qid=1681806491&sr=8-1,"₹34,999",4.3 out of 5 stars.,13345,https://m.media-amazon.com/images/I/716uVx3Wr5L._AC_UY218_.jpg
"OnePlus 10 Pro 5G (Volcanic Black, 8GB RAM, 128GB Storage)",https://www.amazon.in/OnePlus-Volcanic-Black-128GB-Storage/dp/B09V2P9C3S/ref=sr_1_2?keywords=oneplus+10&qid=1681806491&sr=8-2,"₹38,999",4.3 out of 5 stars.,5888,https://m.media-amazon.com/images/I/61mIUCd-37L._AC_UY218_.jpg
"OnePlus 10R 5G (Forest Green, 12GB RAM, 256GB Storage, 80W SuperVOOC)",https://www.amazon.in/OnePlus-Forest-Green-Storage-SuperVOOC/dp/B09WRKHWP7/ref=sr_1_3?keywords=oneplus+10&qid=1681806491&sr=8-3,"₹55,999",4.3 out of 5 stars,13345,https://m.media-amazon.com/images/I/716uVx3Wr5L._AC_UY218_.jpg
"OnePlus 10R 5G (Sierra Black, 8GB RAM, 128GB Storage, 80W SuperVOOC)",https://www.amazon.in/OnePlus-Sierra-Black-Storage-SuperVOOC/dp/B09WRP2WXG/ref=sr_1_4?keywords=oneplus+10&qid=1681806491&sr=8-4,"₹66,999",4.2 out of 5 stars,13345,https://m.media-amazon.com/images/I/71BoiXkrEmL._AC_UY218_.jpg
"OnePlus 10 Pro 5G (Emerald Forest, 8GB RAM, 128GB Storage)",https://www.amazon.in/OnePlus-Emerald-Forest-128GB-Storage/dp/B09V2LX1R4/ref=sr_1_5?keywords=oneplus+10&qid=1681806491&sr=8-5,"₹38,999",4.3 out of 5 stars,5888,https://m.media-amazon.com/images/I/618hqM-yxtL._AC_UY218_.jpg
