Name,Link,Price,Reviews,Number of Reviews,Images
"Redmi 12C (Royal Blue, 4GB RAM, 64GB Storage)",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4ODA5MjExMzc0NDUxNzk1OjE2ODE3NDE5OTQ6c3BfYXRmOjIwMTQyNDcxMDQxMTk4OjowOjo&url=%2FRedmi-Royal-Blue-64GB-Storage%2Fdp%2FB0BYN48MQW%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dmobiles%26qid%3D1681741994%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"₹9,499",3.8 out of 5 stars,3137,https://m.media-amazon.com/images/I/81itQPVn-GL._AC_UY218_.jpg
Redmi Note 12 5G Matte Black 6GB RAM 128GB ROM | 1st Phone with 120Hz Super AMOLED and Snapdragon® 4 Gen 1 | 48MP AI Triple Camera,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4ODA5MjExMzc0NDUxNzk1OjE2ODE3NDE5OTQ6c3BfYXRmOjIwMTA5MjI1NjU0MDk4OjowOjo&url=%2FRedmi-AMOLED-Snapdragon%25C2%25AE-Triple-Camera%2Fdp%2FB0BQ3MT8P2%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dmobiles%26qid%3D1681741994%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"₹13,999",3.9 out of 5 stars,3205,https://m.media-amazon.com/images/I/81ZZPvIWnYL._AC_UY218_.jpg
"Samsung Galaxy M04 Dark Blue, 4GB RAM, 64GB Storage | Upto 8GB RAM with RAM Plus | MediaTek Helio P35 Octa-core Processor | 5000 mAh Battery | 13MP Dual Camera",https://www.amazon.in/Samsung-Storage-MediaTek-Octa-core-Processor/dp/B0BMGB3CH9/ref=sr_1_3?keywords=mobiles&qid=1681741994&sr=8-3,"₹19,999",4.0 out of 5 stars,13174,https://m.media-amazon.com/images/I/81t6Av5DvXL._AC_UY218_.jpg
"Redmi A1 (Light Blue, 2GB RAM, 32GB Storage) | Segment Best AI Dual Cam | 5000mAh Battery | Leather Texture Design | Android 12",https://www.amazon.in/Redmi-Storage-Segment-5000mAh-Battery/dp/B0BBN4DZBD/ref=sr_1_4?keywords=mobiles&qid=1681741994&sr=8-4,"₹21,999",4.3 out of 5 stars,119389,https://m.media-amazon.com/images/I/81UT07JsBqL._AC_UY218_.jpg
"OnePlus Nord CE 2 Lite 5G (Black Dusk, 6GB RAM, 128GB Storage)",https://www.amazon.in/OnePlus-Nord-Black-128GB-Storage/dp/B09WQY65HN/ref=sr_1_5?keywords=mobiles&qid=1681741994&sr=8-5,"₹7,499",3.9 out of 5 stars,3205,https://m.media-amazon.com/images/I/71V--WZVUIL._AC_UY218_.jpg
