Name,Link,Price,Reviews,Number of Reviews,Images
"Samsung Galaxy M04 Dark Blue, 4GB RAM, 128GB Storage | Upto 8GB RAM with RAM Plus | MediaTek Helio P35 Octa-core Processor | 5000 mAh Battery | 13MP Dual Camera",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NzMwNzQ0MjQxMTkwNzA0OjE2ODE3ODY1NjU6c3BfYXRmOjIwMTAzNTg0NTg0ODk4OjowOjo&url=%2FSamsung-Storage-MediaTek-Octa-core-Processor%2Fdp%2FB0BMGG6NKT%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dnarzo%2B10%26qid%3D1681786565%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"₹9,499",3.9 out of 5 stars,3211,https://m.media-amazon.com/images/I/81t6Av5DvXL._AC_UY218_.jpg
realme 10 (Rush Black 128 GB) (8 GB RAM),https://www.amazon.in/realme-Rush-Black-128-RAM/dp/B0BSCDPVS2/ref=sr_1_2?keywords=narzo+10&qid=1681786565&sr=8-2,"₹13,499",3.2 out of 5 stars,10,https://m.media-amazon.com/images/I/61eHj6VXGgL._AC_UY218_.jpg
"Realme 10 (Clash White, 8GB Ram) (128 GB Storage)",https://www.amazon.in/Realme-Clash-White-8GB-Storage/dp/B0BSCFX6QW/ref=sr_1_3?keywords=narzo+10&qid=1681786565&sr=8-3,"₹16,989",3.7 out of 5 stars,30,https://m.media-amazon.com/images/I/51WDCoio+4L._AC_UY218_.jpg
"Redmi 10 (Midnight Black, 4GB RAM, 64GB Storage)",https://www.amazon.in/Redmi-10-Midnight-Black-Storage/dp/B09XRBFVY8/ref=sr_1_4?keywords=narzo+10&qid=1681786565&sr=8-4,"₹19,999",4.0 out of 5 stars,1829,https://m.media-amazon.com/images/I/41IzeZG157L._AC_UY218_.jpg
"realme narzo 50 (Speed Black, 4GB RAM+64GB Storage) Helio G96 Processor | 50MP AI Triple Camera | 120Hz Ultra Smooth Display",https://www.amazon.in/realme-Storage-Processor-Triple-Display/dp/B09RMG1M98/ref=sr_1_5?keywords=narzo+10&qid=1681786565&sr=8-5,"₹16,954",4.2 out of 5 stars,15803,https://m.media-amazon.com/images/I/81X85GWtYHL._AC_UY218_.jpg
