Name,Link,Price,Reviews,Number of Reviews,Images
"Samsung 363 L 1 Star Convertible 5In1 Digital Inverter Frost Free Double Door Refrigerator (RT39C5511S9/HL, Silver, Refined Inox)",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NTYxODEzMzI0NTI3NDY0OjE2ODE2MTk2NzQ6c3BfYXRmOjIwMTE3MjkwNTc1MTk4OjowOjo&url=%2FSamsung-Convertible-Refrigerator-RT39C5511S9-HL%2Fdp%2FB0BR3XPKF8%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dsamsung%2Bfridge%26qid%3D1681619674%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"₹36,490.00",3.3 out of 5 stars,7,https://m.media-amazon.com/images/I/61wElLf8B3L._AC_UY218_.jpg
"Godrej 180 L 4 Star Direct Cool Single Door Refrigerator (2023 Model, RD EDGENEO 207D THF AQ WN, Aqua Wine, Turbo Cooling Technology)",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NTYxODEzMzI0NTI3NDY0OjE2ODE2MTk2NzQ6c3BfYXRmOjIwMTMxMDIyODk5NDk4OjowOjo&url=%2FGodrej-Refrigerator-EDGENEO-Cooling-Technology%2Fdp%2FB0BV261KG7%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dsamsung%2Bfridge%26qid%3D1681619674%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"₹52,990.00",4.1 out of 5 stars,71,https://m.media-amazon.com/images/I/61oxL8gwW0L._AC_UY218_.jpg
"Samsung 183 L 2 Star Digital Inverter Direct Cool Single Door Refrigerator (RR20C2412GS/NL, Gray Silver)",https://www.amazon.in/Samsung-Inverter-Refrigerator-RR20C2412GS-NL/dp/B0BR3V1SQT/ref=sr_1_3?keywords=samsung+fridge&qid=1681619674&sr=8-3,"₹51,490.00",4.3 out of 5 stars,"6,115",https://m.media-amazon.com/images/I/61peedjlRJL._AC_UY218_.jpg
"Samsung 236 L 2 Star Digital Inverter Frost Free Double Door Refrigerator (RT28C3452BX/HL, Luxe Black)",https://www.amazon.in/Samsung-Inverter-Refrigerator-RT28C3452BX-HL/dp/B0BR3XM824/ref=sr_1_4?keywords=samsung+fridge&qid=1681619674&sr=8-4,"₹70,990.00",4.4 out of 5 stars,"5,986",https://m.media-amazon.com/images/I/416U1wKnBLL._AC_UY218_.jpg
"Samsung 183 L 3 Star Digital Inverter Direct Cool Single Door Refrigerator (RR20C1723S8/HL, Silver, Elegant Inox)",https://www.amazon.in/Samsung-Inverter-Refrigerator-RR20C1723S8-HL/dp/B0BR3WHPQP/ref=sr_1_5?keywords=samsung+fridge&qid=1681619674&sr=8-5,"₹38,990.00",4.3 out of 5 stars,"1,887",https://m.media-amazon.com/images/I/61TTF88NJUL._AC_UY218_.jpg
