Name,Link,Price,Reviews,Number of Reviews,Images
"Redmi 12C (Matte Black, 4GB RAM, 64GB Storage)",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMDI0Mjc1MDcyMTAxMDU2OjE2ODE1NTYwNDQ6c3BfYXRmOjIwMTQyNjkwMTQwNDk4OjowOjo&url=%2FRedmi-Matte-Black-64GB-Storage%2Fdp%2FB0BYN4D512%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Drealme%2Bnarzo%2B10%26qid%3D1681556044%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"₹9,499",4.2 out of 5 stars,"15,715",https://m.media-amazon.com/images/I/81guvfQzeVL._AC_UY218_.jpg
"realme narzo 50 (Speed Blue, 4GB RAM+64GB Storage) 120Hz Full HD+ Display | 50MP AI Triple Camera | Helio G96 Powerful Gaming Processor",https://www.amazon.in/realme-Storage-Processor-Triple-Display/dp/B09RMQYHLH/ref=sr_1_2?keywords=realme+narzo+10&qid=1681556044&sr=8-2,"₹13,999",4.0 out of 5 stars,"8,963",https://m.media-amazon.com/images/I/81gRC3KTeaL._AC_UY218_.jpg
"(Renewed) Realme Narzo 10A (So Blue, 3GB RAM, 32GB Storage)",https://www.amazon.in/Renewed-Realme-Narzo-Blue-Storage/dp/B08LDS914Q/ref=sr_1_3?keywords=realme+narzo+10&qid=1681556044&sr=8-3,"₹12,999",4.2 out of 5 stars,"43,710",https://m.media-amazon.com/images/I/51ogEmpKMuL._AC_UY218_.jpg
"realme narzo 50A Prime (Flash Black, 4GB RAM+64GB Storage) Full High Definition+ Display |50MP AI Triple Camera| Charger Included",https://www.amazon.in/realme-Storage-Definition-Display-Included/dp/B0BG1PYJR4/ref=sr_1_4?keywords=realme+narzo+10&qid=1681556044&sr=8-4,"₹15,999",3.4 out of 5 stars,9,https://m.media-amazon.com/images/I/81IPrkMDqVL._AC_UY218_.jpg
"realme narzo 50A (Oxygen Blue , 4GB RAM + 64 GB Storage) Helio G85 Processor | 6000 mAh Battery",https://www.amazon.in/realme-Oxygen-Storage-Processor-Battery/dp/B09FKD67CS/ref=sr_1_5?keywords=realme+narzo+10&qid=1681556044&sr=8-5,"₹8,490",3.8 out of 5 stars,28,https://m.media-amazon.com/images/I/81Ke5qtC6oL._AC_UY218_.jpg
