Name,Link,Price,Reviews,Number of Reviews,Images
"OnePlus 10R 5G (Forest Green, 8GB RAM, 128GB Storage, 80W SuperVOOC)",https://www.amazon.in/OnePlus-Forest-Green-Storage-SuperVOOC/dp/B09WRMNJ9G/ref=sr_1_1?keywords=oneplus+10r&qid=1681556027&sr=8-1,"₹34,999",4.3 out of 5 stars,"13,246",https://m.media-amazon.com/images/I/716uVx3Wr5L._AC_UY218_.jpg
"OnePlus 10R 5G (Sierra Black, 8GB RAM, 128GB Storage, 80W SuperVOOC)",https://www.amazon.in/OnePlus-Sierra-Black-Storage-SuperVOOC/dp/B09WRP2WXG/ref=sr_1_2?keywords=oneplus+10r&qid=1681556027&sr=8-2,"₹38,999",4.3 out of 5 stars,"13,246",https://m.media-amazon.com/images/I/71BoiXkrEmL._AC_UY218_.jpg
"OnePlus 10R 5G (Forest Green, 12GB RAM, 256GB Storage, 80W SuperVOOC)",https://www.amazon.in/OnePlus-Forest-Green-Storage-SuperVOOC/dp/B09WRKHWP7/ref=sr_1_3?keywords=oneplus+10r&qid=1681556027&sr=8-3,"₹34,999",4.3 out of 5 stars,"13,246",https://m.media-amazon.com/images/I/716uVx3Wr5L._AC_UY218_.jpg
"OnePlus 10R 5G (Sierra Black, 12GB RAM, 256GB Storage, 80W SuperVOOC)",https://www.amazon.in/OnePlus-Sierra-Black-Storage-SuperVOOC/dp/B09WRNPKRR/ref=sr_1_4?keywords=oneplus+10r&qid=1681556027&sr=8-4,"₹38,999",4.3 out of 5 stars,"13,246",https://m.media-amazon.com/images/I/71BoiXkrEmL._AC_UY218_.jpg
"(Renewed) OnePlus 10R 5G Sierra Black, 12GB RAM, 256GB Storage",https://www.amazon.in/Renewed-OnePlus-10R-Sierra-Storage/dp/B0BS9MMX1W/ref=sr_1_5?keywords=oneplus+10r&qid=1681556027&sr=8-5,"₹38,999",5.0 out of 5 stars,1,https://m.media-amazon.com/images/I/71BoiXkrEmL._AC_UY218_.jpg
